approach,param_name,param_value,target_prompt,generation,max_fitness,mean_fitness,diversity,centroid_dist,stagnant_streak
gaussian,sigma,0.1,tense orchestral strings with brass fanfare,0,0.1714395135641098,0.08954983639220397,0.8189732491970062,-1.0,0
gaussian,sigma,0.1,tense orchestral strings with brass fanfare,1,0.3130931854248047,0.20007401332259178,0.2485967348019282,0.10029095411300659,0
gaussian,sigma,0.1,tense orchestral strings with brass fanfare,2,0.6183353662490845,0.33442072321971256,0.08473734060923259,0.06739246845245361,0
gaussian,sigma,0.1,tense orchestral strings with brass fanfare,3,0.6631163954734802,0.50037648777167,0.06029841899871826,0.06438392400741577,0
gaussian,sigma,0.1,tense orchestral strings with brass fanfare,4,0.6631163954734802,0.6409063438574473,0.07467348575592041,0.007238447666168213,1
gaussian,sigma,0.1,tense orchestral strings with brass fanfare,5,0.6790862679481506,0.6615882019201914,0.03639103968938192,0.001013636589050293,2
gaussian,sigma,0.1,tense orchestral strings with brass fanfare,6,0.7248058915138245,0.6848557790120443,0.0156043807665507,0.01234447956085205,0
gaussian,sigma,0.1,tense orchestral strings with brass fanfare,7,0.7248058915138245,0.7133725682894388,0.04441450039545695,0.002813100814819336,1
slerp_random,alpha,0.3,tense orchestral strings with brass fanfare,0,0.16374023258686066,0.15763737509648004,0.20774728854497274,-1.0,0
slerp_random,alpha,0.3,tense orchestral strings with brass fanfare,1,0.24580369889736176,0.18341735502084097,0.06814176638921102,0.02143782377243042,0
slerp_random,alpha,0.3,tense orchestral strings with brass fanfare,2,0.39070749282836914,0.2569743370016416,0.07652327617009481,0.05137908458709717,0
slerp_random,alpha,0.3,tense orchestral strings with brass fanfare,3,0.3992428183555603,0.3609230766693751,0.10350542068481446,0.09337788820266724,0
slerp_random,alpha,0.3,tense orchestral strings with brass fanfare,4,0.4941781163215637,0.4321800669034322,0.05961780945460002,0.032552361488342285,0
slerp_random,alpha,0.3,tense orchestral strings with brass fanfare,5,0.785780131816864,0.5497448245684305,0.0678064227104187,0.05485790967941284,0
slerp_random,alpha,0.3,tense orchestral strings with brass fanfare,6,0.785780131816864,0.6849884688854218,0.062445068359375,0.0156058669090271,0
slerp_random,alpha,0.3,tense orchestral strings with brass fanfare,7,0.785780131816864,0.7389680842558543,0.02586847941080729,0.0015548467636108398,1
slerp_prompt,alpha,0.3,tense orchestral strings with brass fanfare,0,0.5065767765045166,0.39000870784123737,0.10307739575703939,-1.0,0
slerp_prompt,alpha,0.3,tense orchestral strings with brass fanfare,1,0.7952311635017395,0.5523475309213003,0.05815428892771403,0.042200684547424316,0
slerp_prompt,alpha,0.3,tense orchestral strings with brass fanfare,2,0.7952311635017395,0.6631955901781718,0.07297369639078775,0.05809366703033447,0
slerp_prompt,alpha,0.3,tense orchestral strings with brass fanfare,3,0.7952311635017395,0.7743582129478455,0.05347335338592529,0.00695955753326416,1
slerp_prompt,alpha,0.3,tense orchestral strings with brass fanfare,4,0.7980551719665527,0.7885059316953024,0.024463899930318198,2.765655517578125e-05,2
slerp_prompt,alpha,0.3,tense orchestral strings with brass fanfare,5,0.8009784817695618,0.7884540855884552,0.035913081963857015,0.00363314151763916,3
slerp_prompt,alpha,0.3,tense orchestral strings with brass fanfare,6,0.8942036032676697,0.808285137017568,0.02859997351964315,0.014768123626708984,0
slerp_prompt,alpha,0.3,tense orchestral strings with brass fanfare,7,0.8942036032676697,0.854146937529246,0.025322194894154867,0.01523292064666748,0
