approach,param_name,param_value,target_prompt,generation,max_fitness,mean_fitness,diversity,centroid_dist,stagnant_streak
1:4:1,structure,1,[simulated],7,-0.004036238417029381,-0.010901540517807007,0.18411655028661092,0.042411983013153076,0
1:4:1,structure,1,[simulated],0,-0.12863191962242126,-0.1489836648106575,0.2015005826950073,-1.0,0
1:4:1,structure,1,[simulated],1,-0.11120598763227463,-0.1318777340153853,0.03877432346343994,0.020205259323120117,0
1:4:1,structure,1,[simulated],2,-0.08420683443546295,-0.11318563669919968,0.1002231240272522,0.09335005283355713,0
1:4:1,structure,1,[simulated],3,-0.06511623412370682,-0.09255015974243481,0.08359386920928955,0.1044466495513916,0
1:4:1,structure,1,[simulated],4,-0.06511623412370682,-0.07910032694538434,0.09560805956522624,0.018830716609954834,0
1:4:1,structure,1,[simulated],5,-0.06511623412370682,-0.07028052334984143,0.10958609580993653,0.005190014839172363,1
1:4:1,structure,1,[simulated],6,-0.05372099578380585,-0.06614837050437927,0.04897418816884359,0.03384047746658325,0
1:4:1,structure,1,[simulated],7,-0.05256817489862442,-0.06006299207607905,0.09927389224370321,0.01183772087097168,0
1:4:1,structure,1,[simulated],0,-0.11392655968666077,-0.1330214155217012,0.19878867467244465,-1.0,0
1:4:1,structure,1,[simulated],1,-0.10835868865251541,-0.11865947643915813,0.08822857141494751,0.01282036304473877,0
1:4:1,structure,1,[simulated],2,-0.06690721213817596,-0.10507797077298164,0.14675811131795247,0.10849505662918091,0
1:4:1,structure,1,[simulated],3,-0.030254419893026352,-0.08304938239355882,0.12591791947682698,0.1371327042579651,0
1:4:1,structure,1,[simulated],4,-0.030254419893026352,-0.049738398442665734,0.13153918584187826,0.016757547855377197,0
1:4:1,structure,1,[simulated],5,-0.017637602984905243,-0.028391317774852116,0.09075516064961751,0.06842207908630371,0
1:4:1,structure,1,[simulated],6,-0.004405032843351364,-0.02053732890635729,0.12231184244155884,0.17571574449539185,0
1:4:1,structure,1,[simulated],7,0.02666858211159706,-0.0022125934871534505,0.12627023458480835,0.08534687757492065,0
1:4:1,structure,1,[simulated],0,-0.10080854594707489,-0.1363107586900393,0.2020616372426351,-1.0,0
1:4:1,structure,1,[simulated],1,-0.10080854594707489,-0.12155250584085782,0.10887518723805746,0.023605823516845703,0
1:4:1,structure,1,[simulated],2,-0.06065616011619568,-0.10098418096701305,0.07477732896804809,0.06084144115447998,0
1:4:1,structure,1,[simulated],3,-0.05104343593120575,-0.07704108580946922,0.10674866040547688,0.09975218772888184,0
1:4:1,structure,1,[simulated],4,-0.05104343593120575,-0.055701809003949165,0.11525949239730834,0.12411850690841675,0
1:4:1,structure,1,[simulated],5,-0.05104343593120575,-0.05909191941221555,0.15835058291753132,0.03568226099014282,0
1:4:1,structure,1,[simulated],6,-0.04220786690711975,-0.05211095760265986,0.07628206809361776,0.058213889598846436,0
1:4:1,structure,1,[simulated],7,-0.041947074234485626,-0.04641619324684143,0.08392385244369507,0.086814284324646,0
2:2:2,structure,2,[simulated],0,-0.10823268443346024,-0.13815406834085783,0.20564872026443481,-1.0,0
2:2:2,structure,2,[simulated],1,-0.03166472539305687,-0.10658287070691586,0.2264877955118815,0.1354171633720398,0
2:2:2,structure,2,[simulated],2,-0.03166472539305687,-0.06126346749564012,0.21263219912846884,0.12284284830093384,0
