approach,param_name,param_value,target_prompt,generation,max_fitness,mean_fitness,diversity,centroid_dist,stagnant_streak
2:3:1,structure,2,[simulated],0,0.32123374938964844,0.22092902660369873,0.09971957604090373,-1.0,0
2:3:1,structure,2,[simulated],1,0.37197956442832947,0.30839326481024426,0.10254422426223755,0.07620745897293091,0
2:3:1,structure,2,[simulated],2,0.3883260488510132,0.3540896673997243,0.11508894364039103,0.003923594951629639,1
2:3:1,structure,2,[simulated],3,0.393481969833374,0.38611920674641925,0.025758965810139974,0.02500361204147339,0
2:3:1,structure,2,[simulated],4,0.458841472864151,0.4036130706469218,0.037124228477478025,0.02402019500732422,0
2:3:1,structure,2,[simulated],5,0.6153386831283569,0.4572634349266688,0.08409940401713054,0.0603753924369812,0
2:3:1,structure,2,[simulated],6,0.7596356868743896,0.5885353237390518,0.07063376108805339,0.05551820993423462,0
2:3:1,structure,2,[simulated],7,0.7596356868743896,0.6579437057177225,0.10058536926905313,0.008777141571044922,1
1:4:1,structure,1,[simulated],0,0.43890511989593506,0.24503903090953827,0.11511642535527547,-1.0,0
1:4:1,structure,1,[simulated],1,0.5431942939758301,0.43548934161663055,0.07316184838612874,0.061470985412597656,0
1:4:1,structure,1,[simulated],2,0.6635734438896179,0.5549759467442831,0.08507711092631022,0.057444095611572266,0
1:4:1,structure,1,[simulated],3,0.6635734438896179,0.6456341246763865,0.041316123803456624,0.022881627082824707,0
1:4:1,structure,1,[simulated],4,0.7005376815795898,0.6537009874979655,0.06611096858978271,0.006392002105712891,1
1:4:1,structure,1,[simulated],5,0.7005376815795898,0.6735146244366964,0.03997007608413696,0.0028420090675354004,2
1:4:1,structure,1,[simulated],6,0.7005376815795898,0.6599232455094656,0.08345388571421306,0.0002447962760925293,3
1:4:1,structure,1,[simulated],7,0.7051731944084167,0.6752239068349203,0.0739477038383484,0.0007959604263305664,4
2:2:2,structure,2,[simulated],0,0.2577059864997864,0.17780876656373343,0.10602858861287436,-1.0,0
2:2:2,structure,2,[simulated],1,0.347502201795578,0.26463552564382553,0.13281128803888956,0.13624268770217896,0
2:2:2,structure,2,[simulated],2,0.5654314160346985,0.4174942672252655,0.0792293389638265,0.06889259815216064,0
2:2:2,structure,2,[simulated],3,0.6478002071380615,0.559423585732778,0.03142278989156087,0.02087724208831787,0
2:2:2,structure,2,[simulated],4,0.6478002071380615,0.6036163667837778,0.07479564348856609,0.004342198371887207,1
2:2:2,structure,2,[simulated],5,0.6478002071380615,0.6099139750003815,0.0484433929125468,0.00020962953567504883,2
2:2:2,structure,2,[simulated],6,0.6478002071380615,0.631091833114624,0.028807528813680015,0.0003126859664916992,3
2:2:2,structure,2,[simulated],7,0.6478002071380615,0.619433710972468,0.07120427290598551,0.00010949373245239258,4
